Latitude,Longitude
33.88,-98.55
38.81,-77.12
38.9,-77.46
38.09,-78.47
38.85,-77.32
37.04,-76.39
38.76,-77.46
37.56,-77.47
37.35,-79.96
39.01,-77.44
38.93,-77.24
39.16,-78.15
47.34,-122.22
48.76,-122.45
47.56,-122.68
47.46,-122.33
47.78,-122.34
47.9,-122.25
47.03,-122.93
46.24,-119.13
48.1,-123.34
47.21,-122.29
47.45,-122.22
47.74,-117.41
47.66,-117.31
47.22,-122.49
45.65,-122.6
46.05,-118.35
35.03,-85.31
36.51,-87.27
36.14,-85.5
36.02,-87.34
36.06,-89.38
35.96,-86.81
36.36,-86.49
36.37,-82.37
36.55,-82.49
35.92,-84.07
36,-83.97
36.29,-86.71
35.45,-86.04
36.37,-88.85
35.04,-89.8
35.18,-89.9
36.18,-83.38
35.85,-86.39
36.11,-86.74
36.19,-86.79
45.49,-122.81
44.06,-121.28
44.57,-123.26
44.06,-123.08
45.38,-122.6
45.23,-123.18
42.38,-122.86
45.53,-122.54
44.92,-123.01
45.61,-121.21
45.33,-122.77
34.06,-81.13
34,-81.22
35.83,-83.97
35.21,-89.79
36.54,-82.24
35.06,-85.19
33.39,-86.81
30.66,-87.86
34.56,-86.97
32.38,-86.21
33.46,-112.28
33.29,-111.79
34.54,-114.35
33.39,-111.7
33.43,-111.87
33.64,-112.25
33.51,-112.05
33.61,-112.42
33.64,-112.11
33.64,-111.92
33.35,-111.97
32.29,-110.99
32.21,-110.88
38.01,-121.83
35.31,-119.04
33.87,-118
33.82,-118.25
33.78,-116.47
33.86,-118.1
39.76,-121.84
34,-117.93
36.84,-119.72
37.67,-122.46
37.98,-122.05
33.88,-117.62
33.68,-117.92
38.55,-121.69
33.95,-118.15
34.14,-117.98
32.8,-116.98
34.07,-118.03
38.4,-121.39
33.12,-117.11
40.8,-124.16
38.63,-121.2
34.14,-117.45
37.49,-121.96
36.82,-119.79
33.77,-117.97
33.89,-118.31
37,-121.56
34.14,-118.26
34.43,-119.82
37.66,-122.08
33.74,-117.03
33.71,-117.99
33.63,-117.72
33.71,-116.28
34.04,-118.27
34.13,-118.36
37.31,-120.5
34.27,-118.47
37.71,-120.99
34.08,-117.69
34.07,-117.21
38.29,-122.28
32.66,-117.1
33.18,-117.3
33.81,-117.86
34.23,-119.15
34.59,-118.14
38.27,-122.67
32.96,-117.03
40.57,-122.37
37.5,-122.23
37.99,-122.32
33.94,-117.3
33.93,-117.42
38.75,-121.26
38.63,-121.4
36.72,-121.66
34.07,-117.3
32.83,-117.15
32.8,-117.22
37.36,-122.02
37.28,-121.88
33.47,-117.68
37.71,-122.16
35.25,-120.68
37.32,-121.99
38.43,-122.71
36.61,-121.85
34.17,-118.45
34.28,-118.78
38.02,-121.28
33.52,-117.16
37.76,-121.46
33.72,-117.8
38.38,-121.94
34.42,-118.56
38.12,-122.26
34.52,-117.32
36.32,-119.28
34.07,-117.89
27.46,-82.58
28.85,-82.58
28.98,-81.3
26.44,-80.07
26.11,-80.14
30.29,-81.73
30.21,-81.74
30.18,-82.7
25.78,-80.37
25.93,-80.29
25.77,-80.25
25.61,-80.35
26.01,-80.26
27.49,-81.48
27.15,-80.22
28,-82.51
28.05,-82.46
27.59,-80.38
26.71,-80.05
27.98,-81.68
34.08,-83.98
33.91,-84.28
33.97,-84.15
33.84,-83.91
33.78,-84.61
33.93,-84.51
33.57,-84.34
34.02,-84.33
33.57,-84.52
32.56,-83.67
21.34,-157.88
20.89,-156.46
21.4,-157.8
21.43,-158
39.29,-76.61
39.51,-76.38
39.26,-76.73
39.39,-77.41
39.18,-77.25
38.83,-76.92
39.11,-77.16
39.08,-76.95
44.95,-93.1
44.95,-93.09
44.98,-93.28
44.97,-93.16
44.97,-93.13
44.95,-93.1
35.39,-80.62
35.04,-78.96
35.94,-80
34.63,-79
32.82,-117.12
34.7,-82.8
37.58,-77.49
39.47,-119.78
30.26,-97.75
32.78,-96.8
37.16,-80.42
37.5,-77.62
47.62,-122.2
47.61,-122.19
43.12,-89.31
43.09,-89.51
32.82,-117.15
42.79,-86.1
44.96,-93
34.85,-82.4
34.76,-82.38
38.95,-77.41
34.84,-82.4
34.93,-82.43
42,-72.58
38.9,-77.02
26.93,-80.1
42.63,-83.22
42.4,-83.07
42.33,-83.06
42.33,-83.06
42.34,-83.13
42.33,-83.06
42.68,-83.14
42.68,-83.13
42.68,-83.19
42.17,-83.78
41.37,-81.76
44.52,-85.99
39,-76.53
40.4,-75.59
37.58,-77.49
42.46,-83.13
35.77,-78.64
35.77,-78.64
35.78,-78.64
42.19,-122.69
45.32,-122.76
45.48,-122.78
45.43,-122.57
33.91,-84.29
41.98,-87.9
42,-87.86
42.68,-70.84
36.01,-78.92
33.93,-81.06
36.38,-94.18
28.42,-81.45
28.47,-81.4
28.43,-81.45
28.49,-81.46
41.61,-93.74
41.01,-91.98
41.65,-93.77
38.62,-77.09
38.37,-76.96
42.79,-86.1
42.29,-83.18
38.71,-90.68
40.45,-80.09
42.22,-122.74
25.77,-80.2
26.77,-80.1
26.93,-80.12
26.76,-80.1
25.77,-80.26
25.83,-80.31
37.76,-77.48
34.85,-82.32
35.11,-81.21
42.56,-70.89
38.89,-76.54
36.15,-115.23
40.87,-73.91
34.89,-82.22
34.89,-82.22
30.25,-97.69
30.19,-97.8
30.42,-97.72
30.27,-97.74
37.39,-122.08
37.4,-121.98
37.38,-121.97
38.45,-78.87
45.26,-94.11
36.55,-82.56
43,-89.42
43.07,-89.4
43.06,-89.41
35.28,-120.66
35.92,-78.6
47.6,-122.33
38.76,-77.79
45.48,-122.83
38.89,-77.08
38.8,-77.52
47.43,-122.27
47.22,-122.48
26.64,-81.87
28.46,-81.46
28.5,-81.42
27.95,-82.45
42.28,-83.75
42.37,-83.28
40.35,-74.66
29.34,-98.44
21.3,-157.86
21.31,-157.86
21.31,-157.86
21.3,-157.86
21.27,-157.83
21.27,-157.82
39.27,-76.6
40.71,-111.9
41.96,-71.49
34.14,-84.25
41.07,-73.55
47.26,-122.44
27.5,-82.57
28.43,-81.48
28.5,-81.3
28.51,-81.36
27.71,-82.74
42.23,-71.02
42.96,-85.68
42.5,-83.44
39.1,-84.51
29.95,-95.33
47.57,-122.15
47.6,-122.04
27.49,-82.57
21.28,-157.83
21.28,-157.83
35.78,-78.64
35.78,-78.64
35.76,-78.63
35.86,-78.64
35.8,-78.66
35.79,-78.57
35.77,-78.56
35.77,-78.56
40.63,-80.05
41.82,-71.35
40.51,-88.99
40.5,-89
40.51,-88.99
29.92,-90.12
29.93,-90.12
40.54,-89.01
40.59,-105.07
40.02,-105.23
40.01,-105.28
39.99,-82.82
39.96,-83
42.67,-88.52
42.91,-87.93
41.53,-72.06
28.57,-81.39
20.69,-156.44
40.53,-89.01
42.97,-85.67
42.96,-85.67
42.28,-83.75
42.96,-85.67
35.61,-87.03
41.74,-71.43
40.66,-74.22
35.22,-80.85
35.84,-86.41
40.49,-80.2
40.51,-105.08
35.53,-97.53
43.2,-72.82
42.53,-71.71
42.57,-71.42
42.26,-71.79
39.29,-76.62
39.29,-76.62
39.29,-76.62
39.29,-76.62
42.24,-83.44
42.62,-83.32
42.34,-83.06
42.33,-83.06
42.33,-83.06
42.41,-83.14
44.83,-93.11
39.93,-75.03
30.56,-97.66
38.89,-77.09
38.85,-77.05
47.42,-122.26
47.44,-122.21
47.44,-122.21
43.05,-89.32
35.78,-78.69
44.76,-85.59
41.96,-87.87
35.49,-79.18
38.67,-77.4
27.9,-82.72
28.43,-81.46
28.25,-81.28
28.25,-81.28
39.33,-76.68
39.33,-76.5
45.18,-93.24
44.96,-93.08
34,-81.03
34,-81.04
34.04,-118.69
37.81,-122.45
27.99,-82.39
25.78,-80.2
41.81,-72.26
41.74,-71.43
35.92,-86.82
35.94,-86.81
36.17,-86.3
35.84,-86.45
47.48,-122.17
47.47,-122.2
47.25,-122.44
47.25,-122.43
47.23,-122.47
47.25,-122.45
39.74,-104.99
41.77,-72.68
38.9,-77.03
34.28,-83.86
34.01,-84.58
42.36,-71.06
42.8,-70.85
42.03,-71.31
36.06,-79.5
36.06,-79.5
35.78,-78.68
26.89,-80.1
44.02,-73.17
37.49,-121.95
47.78,-122.34
47.9,-122.25
47.03,-122.93
46.24,-119.13
47.21,-122.29
47.45,-122.22
47.61,-122.33
47.59,-122.32
47.6,-122.33
47.58,-122.32
47.62,-122.35
47.7,-122.34
47.57,-122.33
47.58,-122.32
47.57,-122.35
47.22,-122.49
41.5,-74.07
41.5,-74.07
42.45,-75.1
42.45,-75.1
42.78,-78.77
42.78,-78.77
40.79,-73.01
40.79,-73.01
44.67,-73.44
44.67,-73.44
41,-73.67
41,-73.67
40.92,-72.7
40.92,-72.7
43.08,-77.64
43.08,-77.64
40.86,-73.16
40.86,-73.16
42.76,-73.89
42.76,-73.89
40.81,-73.51
40.67,-73.72
40.67,-73.72
40.81,-73.51
42.1,-76
42.1,-76
41.59,-73.91
41.59,-73.91
43.2,-77.48
43.2,-77.48
40.75,-73.56
40.75,-73.56
42.96,-78.69
41.29,-73.84
41.29,-73.84
45.49,-122.81
44.57,-123.26
44.06,-123.08
45.38,-122.6
45.23,-123.18
42.38,-122.86
45.53,-122.54
44.92,-123.01
45.33,-122.77
47.56,-122.68
47.46,-122.33
44.13,-70.22
42.28,-83.75
42.28,-83.75
42.27,-83.73
42.28,-83.74
42.28,-83.75
42.28,-83.81
42.28,-83.81
43.04,-85.62
43.04,-85.62
42.27,-85.63
42.91,-85.56
42.91,-85.56
43.49,-83.97
43.49,-83.97
44.74,-85.59
44.74,-85.59
42.55,-83.18
42.55,-83.18
35.87,-78.54
35.9,-78.65
43.19,-71.5
43.19,-71.5
42.78,-71.5
43.08,-70.79
43.08,-70.79
42.77,-71.22
42.77,-71.22
43.26,-70.9
43.26,-70.9
42.88,-72.23
42.88,-72.23
43.45,-71.57
43.45,-71.57
42.68,-73.79
42.68,-73.79
42.98,-78.8
42.97,-76.54
40.76,-73.78
40.76,-73.78
41.07,-73.95
41.07,-73.95
40.64,-74.02
40.64,-74.02
40.59,-73.96
40.59,-73.96
43.15,-76.11
43.15,-76.11
43.1,-77.48
43.1,-77.48
40.62,-73.74
40.62,-73.74
42.44,-76.51
42.44,-76.51
40.71,-73.8
40.71,-73.8
43.03,-74.36
43.03,-74.36
40.72,-73.63
40.72,-73.63
42.16,-76.87
42.16,-76.87
40.83,-73.38
40.83,-73.38
41.95,-74.03
43.13,-78.7
43.13,-78.7
42.95,-71.44
42.95,-71.44
41.41,-74.41
41.41,-74.41
40.92,-73.78
40.92,-73.78
38.59,-90.53
38.59,-90.53
38.97,-92.33
38.97,-92.33
39.27,-94.67
39.27,-94.67
38.9,-94.35
38.9,-94.35
39.78,-94.8
39.78,-94.8
38.52,-90.34
38.52,-90.34
38.8,-90.6
38.8,-90.6
35.6,-82.56
35.6,-82.55
35.5,-82.52
36.35,-94.18
36.35,-94.18
35.09,-92.42
35.09,-92.42
36.11,-94.14
36.11,-94.14
35.32,-94.4
35.32,-94.4
34.45,-93.07
34.45,-93.07
35.8,-90.67
34.71,-92.4
34.71,-92.4
34.81,-92.21
34.81,-92.21
34.2,-92.01
34.2,-92.01
33.58,-117.72
41.19,-73.17
42,-72.57
42,-72.57
41.17,-73.23
41.79,-72.66
41.79,-72.66
41.81,-72.51
41.81,-72.51
41.57,-73.1
41.57,-73.1
41.59,-72.68
41.59,-72.68
41.21,-73.08
41.21,-73.08
41.36,-72.87
41.36,-72.87
41.73,-72.19
41.31,-72.38
41.3,-73.11
41.47,-72.82
41.47,-72.82
41.31,-72.97
41.31,-72.97
41.82,-72.87
41.82,-72.87
41.26,-73.44
41.26,-73.44
26.07,-80.36
41.73,-72.19
42,-93.61
42.51,-92.44
42.51,-92.44
42.05,-91.68
42.05,-91.68
41.56,-90.58
42.44,-96.36
42.44,-96.36
45.65,-122.6
46.59,-120.5
46.59,-120.5
41.51,-90.58
42.29,-83.67
47.12,-88.57
42.41,-71
42.13,-70.92
35.05,-78.88
28.51,-81.15
28.54,-81.38
28.54,-81.38
28.24,-81.31
38.86,-77.06
47.87,-121.99
38.61,-122.87
37.7,-121.92
37.76,-84.27
37.11,-84.08
38,-84.44
37.66,-84.78
30,-90.16
41.65,-91.55
48.67,-121.26
37.82,-81.19
37.82,-81.19
39.65,-80
39.65,-80
41.26,-96.19
41.26,-96.19
40.92,-74
40.78,-74.19
40.99,-74.35
40.99,-74.35
39.94,-75.01
39.94,-75.01
40.81,-74.37
40.49,-74.86
40.49,-74.86
40.26,-74.29
40.26,-74.29
39.98,-74.81
40.23,-74.67
40.85,-74.08
40.85,-74.08
40.7,-74.22
40.43,-74.19
40.43,-74.19
39.7,-74.27
40.41,-74.51
40.41,-74.51
40.23,-74.07
40.23,-74.07
40.63,-74.43
40.63,-74.43
40.93,-74.72
40.93,-74.72
39.96,-74.18
39.96,-74.18
40.89,-74.23
40.89,-74.23
41.05,-74.12
41.05,-74.12
39.46,-75.04
39.46,-75.04
39.83,-75.16
39.83,-75.16
40.98,-81.49
40.98,-81.49
39.71,-84.03
39.71,-84.03
41.4,-81.55
41.4,-81.55
41.01,-80.66
41.01,-80.66
41.42,-83.65
41.42,-83.65
39.29,-84.45
39.29,-84.45
39.23,-84.59
39.23,-84.59
39.3,-84.31
39.3,-84.31
40.06,-82.89
40.06,-82.89
39.97,-83.03
41.12,-81.48
41.12,-81.48
39.64,-84.22
39.64,-84.22
40.52,-81.49
40.52,-81.49
39.33,-84.52
39.33,-84.52
41.06,-83.61
40.03,-83.13
40.03,-83.13
40.76,-84.15
40.76,-82.57
40.76,-82.57
41.52,-81.46
41.52,-81.46
41.13,-81.79
41.13,-81.79
41.68,-81.34
41.68,-81.34
41.41,-81.94
41.41,-81.94
41.42,-82.09
41.25,-81.36
41.25,-81.36
41.68,-83.68
41.68,-83.68
39.89,-84.22
39.89,-84.22
41.26,-80.78
42.05,-80.11
32.79,-79.93
32.78,-79.93
32.79,-79.94
33.8,-79.01
33.84,-79.05
34.76,-81.65
33.66,-78.94
34.98,-80.98
34.92,-81.03
34.95,-81.93
34.95,-81.93
34.96,-81.94
34.95,-81.93
34.94,-81.91
34.72,-81.62
33.84,-79.05
34.99,-81.06
38.27,-77.49
21.4,-158
40.78,-89.62
31.3,-92.52
31.3,-92.52
30.44,-91.09
30.44,-91.09
32.56,-93.72
42.12,-72.63
42.12,-72.63
42.29,-71.59
42.5,-71.12
42.61,-82.88
42.33,-83.06
32.28,-90.03
32.28,-90.03
31.58,-90.46
31.58,-90.46
33.52,-88.36
33.52,-88.36
33.4,-91.01
33.4,-91.01
33.53,-90.21
33.79,-89.85
33.79,-89.85
30.43,-89.09
31.32,-89.39
31.32,-89.39
32.27,-90.19
32.27,-90.19
32.39,-90.14
32.39,-90.14
30.37,-88.54
30.37,-88.54
30.51,-89.66
34.96,-89.99
34.96,-89.99
32.33,-90.87
32.33,-90.87
35.22,-80.84
35.32,-80.77
30.45,-90.08
30.5,-90.48
30.17,-92.08
30,-90.17
30,-90.17
32.5,-92.08
32.5,-92.08
30.05,-89.95
30.51,-92.07
42.18,-71.85
42.18,-71.85
41.74,-70.59
41.74,-70.59
42.06,-71.06
42.06,-71.06
42.18,-72.58
42.34,-72.61
42.34,-72.61
41.66,-70.3
41.66,-70.3
41.98,-70.71
41.98,-70.71
42.52,-71.7
42.52,-71.7
42.51,-71.01
42.51,-71.01
42.35,-71.5
42.35,-71.5
42.41,-71.11
42.41,-71.11
41.96,-71.34
41.96,-71.34
42.17,-70.89
42.17,-70.89
42.19,-71.18
42.19,-71.18
42.45,-73.26
42.45,-73.26
42.25,-70.99
42.25,-70.99
41.9,-71.02
41.9,-71.02
21.38,-157.94
21.29,-157.84
21.31,-157.86
21.28,-158.38
21.3,-157.84
21.29,-157.84
21.3,-157.96
21.28,-157.83
21.28,-157.79
21.29,-157.81
21.33,-158.09
21.31,-157.86
21.34,-157.92
21.28,-157.83
21.28,-157.83
21.28,-157.83
21.27,-157.82
21.29,-157.84
21.16,-157.47
21.31,-157.86
21.32,-157.86
21.28,-157.83
21.28,-157.83
20.97,-156.68
21.7,-158
20.89,-156.46
21.86,-159.79
19.65,-156
21.4,-157.8
20.73,-156.45
19.99,-155.82
20.01,-155.82
21.87,-159.46
20.93,-156.69
21.97,-159.37
21.97,-159.36
21.97,-159.36
21.97,-159.36
21.34,-157.99
22.21,-159.48
22.22,-159.47
20.68,-156.44
20.88,-156.49
21.43,-158
42.67,-83.22
38.38,-120.81
42.05,-87.76
41.65,-87.73
41.87,-87.83
33.02,-83.91
27.08,-82.42
30.31,-97.94
29.84,-95.51
33.02,-96.79
43.34,-90.39
35.99,-78.89
35.97,-78.96
39.28,-84.3
40.79,-81.46
40.79,-81.46
40.46,-79.92
34.11,-80.9
34.11,-80.9
33.96,-80.4
33.96,-80.4
44.08,-103.19
36.15,-86.81
37.77,-122.47
37.36,-121.9
31.99,-81.13
31.99,-81.13
32.42,-81.79
30.86,-83.95
30.86,-83.95
31.44,-83.52
31.44,-83.52
30.88,-83.27
30.88,-83.27
32.21,-82.39
21.34,-157.91
21.3,-157.85
21.28,-157.82
34.15,-118.8
39.7,-104.87
39.7,-104.87
40.03,-105.26
39.59,-104.87
39.59,-104.87
38.81,-104.76
38.81,-104.76
38.93,-104.81
38.93,-104.81
37.27,-107.91
37.27,-107.91
40.39,-104.74
39.73,-105.16
39.73,-105.16
39.72,-105.13
39.63,-105.09
39.63,-105.09
40.15,-105.11
40.15,-105.11
38.31,-104.64
38.31,-104.64
41.7,-72.89
41.75,-72.64
41.28,-72.87
41.76,-72.68
41.32,-72.93
41.05,-73.54
39.14,-75.53
39.66,-75.61
39.66,-75.61
39.69,-75.74
39.69,-75.74
26.97,-82.08
26.97,-82.08
27.91,-82.73
27.91,-82.73
28.02,-82.74
28.02,-82.74
26.24,-80.25
26.24,-80.25
29.22,-81.11
29.22,-81.11
26.54,-81.87
26.54,-81.87
27.38,-80.33
27.38,-80.33
29.69,-82.32
29.69,-82.32
30.32,-81.52
30.32,-81.52
30.17,-81.54
30.17,-81.54
28.1,-81.95
28.1,-81.95
28.82,-81.79
28.82,-81.79
28.72,-81.32
28.72,-81.32
30.78,-85.25
28.1,-80.61
28.1,-80.61
26.21,-81.74
28.22,-82.74
28.22,-82.74
29.17,-82.16
29.17,-82.16
28.4,-81.45
28.55,-81.42
28.55,-81.42
28.57,-81.28
28.57,-81.28
28.38,-81.4
28.38,-81.4
29.66,-81.66
29.66,-81.66
30.19,-85.66
30.47,-87.25
30.47,-87.25
26.21,-80.11
26.21,-80.11
26.21,-81.74
26.78,-80.1
26.78,-80.1
26.68,-80.2
26.68,-80.2
29.84,-81.32
29.84,-81.32
27.82,-82.68
27.82,-82.68
27.3,-82.5
27.3,-82.5
30.46,-84.22
30.46,-84.22
28.6,-80.81
28.6,-80.81
27.09,-82.43
28.24,-82.34
28.24,-82.34
31.57,-84.13
31.57,-84.13
33.91,-84.46
33.52,-82.07
33.52,-82.07
33.94,-83.5
33.94,-83.5
33.59,-85.05
33.59,-85.05
32.54,-84.97
32.54,-84.97
33.67,-84.03
33.67,-84.03
32.92,-83.71
32.92,-83.71
33.11,-83.26
33.11,-83.26
34.29,-86.24
34.29,-86.24
31.32,-86.46
31.32,-86.46
32.56,-85.5
32.56,-85.5
33.36,-87.01
33.36,-87.01
33.51,-86.82
33.51,-86.82
33.62,-86.69
33.62,-86.69
32.89,-86.62
32.89,-86.62
31.23,-85.45
31.23,-85.45
31.3,-85.82
31.3,-85.82
34.83,-87.63
34.83,-87.63
33.98,-86.01
33.98,-86.01
34.75,-86.69
34.75,-86.69
30.67,-88.13
30.67,-88.13
33.59,-85.88
33.59,-85.88
37.58,-122.34
37.58,-122.34
37.6,-122.37
37.29,-121.95
37.7,-121.91
37.7,-121.91
33.12,-117.12
38.24,-122.08
38.24,-122.08
33.72,-116.32
33.82,-118.15
34.06,-118.36
34.05,-117.55
34.05,-117.55
42.6,-82.88
21.3,-157.85
21.36,-157.9
21.31,-157.85
21.33,-158.09
21.88,-159.44
21.98,-159.37
21.33,-158.09
41.95,-91.69
41.58,-90.57
43.62,-116.29
43.62,-116.29
43.51,-112
43.51,-112
42.14,-88
42.14,-88
40.46,-88.97
40.46,-88.97
41.15,-87.85
38.53,-89.17
41.95,-87.74
41.95,-87.74
41.79,-87.87
41.79,-87.87
42.23,-88.31
42.23,-88.31
39.88,-88.96
39.88,-88.96
41.86,-89.49
41.81,-88.02
41.81,-88.02
42.03,-88.26
42.03,-88.26
42.04,-87.68
42.04,-87.68
40.97,-90.38
41.89,-88.31
41.9,-88.07
41.9,-88.07
41.8,-88.37
41.8,-88.37
38.6,-89.96
38.6,-89.96
41.92,-88.28
41.92,-88.28
39.93,-86.1
40.43,-86.92
40.42,-86.91
40.43,-86.91
38.89,-94.83
39.12,-94.75
39.12,-94.75
37.66,-84.78
38,-84.44
37.11,-84.08
38.22,-85.75
29.94,-90.13
42.58,-70.9
42.35,-71.06
44.43,-68.37
43.94,-69.96
34.12,-117.59
34.1,-117.58
34.1,-117.55
34.12,-117.61
34.15,-117.61
41.84,-87.63
33.79,-84.39
40.5,-88.99
35.33,-81.89
35.33,-81.89
35.26,-81.14
35.26,-81.14
35.4,-78.01
36.06,-79.88
36.06,-79.88
35.57,-77.41
35.57,-77.41
35.32,-82.46
35.3,-82.44
35.3,-82.44
35.71,-81.32
35.71,-81.32
35.94,-80
34.76,-77.38
34.76,-77.38
35.65,-82.3
35.05,-77.01
35.05,-77.01
36.32,-79.69
36.32,-79.69
36.42,-77.64
34.92,-79.74
36.48,-80.62
36.48,-80.62
34.92,-79.74
35.64,-80.49
35.64,-80.49
35.44,-79.13
35.44,-79.13
35.16,-79.42
35.16,-79.42
35.77,-80.86
35.95,-78.54
35.95,-78.54
36.15,-81.2
36.15,-81.2
34.25,-77.87
34.25,-77.87
35.76,-77.98
35.76,-77.98
36.18,-80.28
36.18,-80.28
35.27,-97.49
35.27,-97.49
35.57,-97.67
35.57,-97.67
35.39,-97.51
35.39,-97.51
36.02,-95.89
36.02,-95.89
45.46,-122.7
34.55,-82.67
33.49,-81.93
33.49,-81.93
32.79,-80.02
32.79,-80.02
34.83,-82.56
34.83,-82.56
34.19,-79.81
34.82,-82.34
34.22,-82.19
34.22,-82.19
34.95,-82.21
34.95,-82.21
34,-81.22
33.75,-78.97
33.75,-78.97
32.93,-80.04
32.93,-80.04
33.54,-80.83
33.54,-80.83
33.43,-79.16
33.43,-79.16
34.95,-80.97
34.95,-80.97
34.97,-81.94
34.97,-81.94
33.96,-80.39
33.96,-80.39
44.29,-88.47
35.17,-80.74
35.17,-80.74
35.11,-80.88
35.11,-80.88
35.53,-82.93
35.39,-80.62
35.47,-80.87
35.47,-80.87
35.99,-78.9
36.34,-76.24
36.34,-76.24
35.04,-78.96
42.06,-87.76
42.06,-87.76
41.6,-87.58
41.6,-87.58
39.76,-89.74
39.76,-89.74
